precinct,registered_voters,baker_electionDay,baker_Mail,baker_Provisional,baker_Total,cates_electionDay,cates_Mail,cates_Provisional,cates_Total,congemi_electionDay,congemi_Mail,congemi_Provisional,congemi_Total,kriseman_electionDay,kriseman_Mail,kriseman_Provisional,kriseman_Total,lassiter_electionDay,lassiter_mail,lassiter_provisional,lassiter_total,nevel_electionDay,nevel_mail,nevel_provisional,nevel_total,total,kriseman_margin,baker_margin,kriseman_share,baker_share,didNotVote,didNotVotePct,thirdParty,thirdPartyPct,turnout,regDem,regRep,regNPA,regOther,regDemPct,regRepPct,regNPAOtherPct
228,975,43,46,0,89,0,1,0,1,0,0,0,0,90,108,0,198,0,2,0,2,3,3,0,6,296,109,-109,0.2030769231,0.09128205128,679,0.6964102564,9,0.009230769231,0.3035897436,553,170,250,2,0.5671794872,0.1743589744,0.2584615385
229,2170,96,228,0,324,2,2,0,4,1,3,0,4,99,242,0,341,0,2,0,2,2,8,0,10,685,17,-17,0.1571428571,0.1493087558,1485,0.6843317972,20,0.009216589862,0.3156682028,818,718,623,11,0.3769585253,0.330875576,0.2921658986
230,1640,88,281,0,369,0,4,0,4,1,2,0,3,57,220,0,277,0,1,0,1,0,1,0,1,655,-92,92,0.168902439,0.225,985,0.6006097561,9,0.005487804878,0.3993902439,532,724,377,7,0.3243902439,0.4414634146,0.2341463415
231,2965,109,383,0,492,0,3,0,3,1,5,0,6,113,344,0,457,0,1,0,1,2,8,0,10,969,-35,35,0.1541315346,0.1659359191,1996,0.6731871838,20,0.006745362563,0.3268128162,1046,1090,814,15,0.3527824621,0.3676222597,0.2795952782
232,2268,137,278,0,415,1,1,0,2,0,3,0,3,130,228,0,358,0,3,0,3,1,4,0,5,786,-57,57,0.1578483245,0.1829805996,1482,0.6534391534,13,0.005731922399,0.3465608466,797,773,690,8,0.3514109347,0.3408289242,0.3077601411
233,1662,94,159,0,253,0,0,0,0,2,2,0,4,131,197,0,328,1,1,0,2,1,5,0,6,593,75,-75,0.1973525872,0.1522262335,1069,0.6432009627,12,0.007220216606,0.3567990373,689,494,470,9,0.4145607702,0.2972322503,0.2882069795
234,1600,90,146,0,236,1,0,0,1,0,4,0,4,80,127,0,207,0,1,0,1,1,2,0,3,452,-29,29,0.129375,0.1475,1148,0.7175,9,0.005625,0.2825,595,518,468,19,0.371875,0.32375,0.304375
235,1923,128,274,0,402,1,2,0,3,0,1,0,1,124,227,0,351,0,2,0,2,1,1,0,2,761,-51,51,0.1825273011,0.2090483619,1162,0.6042641706,8,0.004160166407,0.3957358294,635,756,522,10,0.3302132085,0.3931357254,0.276651066
236,429,7,31,0,38,0,2,0,2,0,0,0,0,16,24,0,40,0,1,0,1,1,0,0,1,82,2,-2,0.09324009324,0.08857808858,347,0.8088578089,4,0.009324009324,0.1911421911,180,111,138,0,0.4195804196,0.2587412587,0.3216783217
237,201,1,32,0,33,0,0,0,0,0,2,0,2,9,13,0,22,0,0,0,0,0,0,0,0,57,-11,11,0.1094527363,0.1641791045,144,0.7164179104,2,0.009950248756,0.2835820896,80,69,52,0,0.3980099502,0.3432835821,0.2587064677
239,3133,160,309,0,469,0,6,0,6,3,7,0,10,146,297,0,443,1,4,0,5,9,4,0,13,946,-26,26,0.1413980211,0.1496967763,2187,0.6980529844,34,0.01085221832,0.3019470156,1215,966,936,16,0.3878072135,0.3083306735,0.303862113
240,1812,96,219,0,315,0,4,0,4,1,2,0,3,70,129,0,199,1,4,0,5,3,5,0,8,534,-116,116,0.1098233996,0.1738410596,1278,0.7052980132,20,0.01103752759,0.2947019868,630,650,522,10,0.3476821192,0.3587196468,0.293598234
241,1954,112,268,0,380,0,1,0,1,2,1,0,3,99,224,0,323,4,1,0,5,2,2,0,4,716,-57,57,0.1653019447,0.1944728762,1238,0.6335721597,13,0.006653019447,0.3664278403,668,744,530,12,0.3418628454,0.3807574207,0.2773797339
275,784,30,107,0,137,0,0,0,0,0,5,0,5,34,72,0,106,0,1,0,1,0,0,0,0,249,-31,31,0.1352040816,0.174744898,535,0.6823979592,6,0.007653061224,0.3176020408,278,272,228,6,0.3545918367,0.3469387755,0.2984693878
